Electrical Gadgets,Company Name,Years of Warranty,Year of Manufacturing,Years of Expiry,Radiation Generated
Laptop,Electronics Inc,4,2022,5,Minimal
Laptop,Tech Inc,1,2019,6,Low
Smartwatch,Enterprises Ltd,5,2021,5,Low
Laptop,Enterprises Inc,2,2020,8,Minimal
Smartwatch,Enterprises Group,2,2021,7,Moderate
Smartwatch,Solutions Ltd,1,2024,3,Moderate
Tablet,Systems Ltd,4,2018,3,High
Headphones,Systems Group,1,2019,3,High
Laptop,Innovations Group,2,2022,8,Moderate
Smartphone,Solutions Group,3,2024,8,Minimal
Tablet,Gadget Ltd,3,2022,6,Moderate
Headphones,Systems Corp,3,2022,5,Low
Smartwatch,Tech Corp,1,2023,7,High
Headphones,Enterprises Ltd,1,2023,7,Moderate
Headphones,Electronics Corp,4,2024,6,Low
Smartwatch,Solutions Corp,2,2020,4,Low
Headphones,Innovations Ltd,5,2018,6,Moderate
Headphones,Systems Inc,1,2022,7,High
Smartphone,Tech Corp,1,2019,4,Moderate
Laptop,Solutions Ltd,3,2023,8,Minimal
Smartwatch,Enterprises Group,2,2024,8,Moderate
Smartwatch,Gadget Ltd,5,2020,6,Minimal
Tablet,Innovations Inc,2,2022,2,Moderate
Headphones,Gadget Ltd,1,2024,5,High
Tablet,Enterprises Corp,3,2023,3,Low
Laptop,Electronics Group,3,2021,7,High
Headphones,Innovations Ltd,5,2023,5,Minimal
Laptop,Electronics Corp,5,2020,6,Moderate
Laptop,Innovations Inc,1,2024,2,Moderate
Smartwatch,Innovations Group,4,2021,7,High
Smartwatch,Electronics Group,5,2022,6,Low
Headphones,Tech Group,4,2023,2,Low
Smartphone,Electronics Group,1,2020,3,Low
Smartwatch,Tech Ltd,4,2018,7,Minimal
Smartphone,Solutions Inc,1,2024,4,Minimal
Headphones,Electronics Ltd,3,2023,5,Minimal
Smartphone,Solutions Corp,4,2019,6,Low
Laptop,Gadget Corp,2,2022,4,Moderate
Laptop,Tech Group,4,2023,3,Moderate
Smartwatch,Tech Ltd,3,2019,3,Moderate
Smartphone,Innovations Ltd,5,2018,7,Minimal
Smartphone,Gadget Corp,4,2020,4,Minimal
Tablet,Electronics Group,3,2024,3,High
Smartwatch,Systems Ltd,1,2021,3,High
Smartphone,Gadget Inc,2,2024,6,Moderate
Tablet,Solutions Group,1,2019,2,Minimal
Laptop,Innovations Ltd,2,2023,4,High
Smartwatch,Gadget Group,2,2018,8,High
Smartwatch,Gadget Corp,1,2021,6,Minimal
Smartwatch,Gadget Group,2,2021,2,High
Smartphone,Enterprises Corp,2,2022,6,Moderate
Headphones,Gadget Group,1,2021,2,Moderate
Smartphone,Electronics Group,2,2018,7,Minimal
Tablet,Gadget Group,1,2018,2,Low
Tablet,Solutions Corp,3,2019,8,Minimal
Tablet,Systems Ltd,5,2022,5,High
Smartphone,Gadget Inc,2,2019,8,Moderate
Smartwatch,Systems Corp,1,2018,6,Low
Laptop,Gadget Group,4,2021,7,Moderate
Smartwatch,Enterprises Group,1,2019,4,High
Smartwatch,Electronics Corp,3,2024,3,Minimal
Headphones,Enterprises Corp,1,2021,8,High
Headphones,Electronics Ltd,5,2019,2,Minimal
Tablet,Innovations Ltd,5,2020,2,Minimal
Smartphone,Innovations Group,4,2019,8,Minimal
Laptop,Tech Ltd,5,2024,7,High
Laptop,Systems Ltd,1,2019,4,Minimal
Smartphone,Electronics Ltd,2,2024,3,High
Smartphone,Tech Ltd,3,2019,7,Minimal
Smartwatch,Systems Corp,1,2020,5,Low
Smartphone,Tech Corp,3,2018,7,Minimal
Smartwatch,Tech Corp,3,2022,6,Moderate
Laptop,Solutions Group,4,2019,5,Minimal
Tablet,Electronics Ltd,2,2019,3,Moderate
Smartwatch,Solutions Corp,1,2020,7,Low
Headphones,Electronics Ltd,2,2019,4,Low
Laptop,Tech Group,1,2023,6,Moderate
Smartphone,Solutions Corp,5,2022,7,Low
Headphones,Enterprises Ltd,4,2021,5,Low
Tablet,Innovations Corp,1,2022,2,Moderate
Tablet,Gadget Inc,4,2022,3,Moderate
Tablet,Electronics Inc,5,2018,7,High
Laptop,Innovations Group,2,2019,7,High
Smartwatch,Systems Group,3,2021,4,Moderate
Smartphone,Electronics Inc,4,2019,6,Minimal
Smartphone,Solutions Corp,4,2020,5,Moderate
Smartwatch,Electronics Corp,4,2021,4,Minimal
Smartwatch,Innovations Group,1,2018,6,Minimal
Smartwatch,Systems Ltd,3,2021,4,Low
Headphones,Electronics Ltd,3,2022,7,Minimal
Headphones,Solutions Group,3,2023,2,Low
Laptop,Gadget Corp,5,2018,4,Low
Tablet,Solutions Ltd,5,2021,6,Minimal
Smartwatch,Solutions Corp,4,2022,6,High
Tablet,Solutions Ltd,5,2024,2,Moderate
Tablet,Solutions Group,3,2024,6,Low
Smartphone,Tech Corp,3,2019,6,Moderate
Smartphone,Gadget Ltd,4,2024,4,Low
Laptop,Enterprises Inc,4,2024,6,Moderate
Laptop,Electronics Ltd,1,2024,2,Low
Tablet,Electronics Group,3,2021,8,Moderate
Smartphone,Innovations Inc,1,2018,8,High
Tablet,Tech Inc,5,2021,7,Moderate
Laptop,Solutions Corp,3,2018,2,Minimal
Tablet,Systems Inc,3,2020,6,Low
Smartphone,Enterprises Inc,5,2019,8,Minimal
Headphones,Solutions Inc,5,2023,6,Minimal
Laptop,Solutions Corp,3,2024,4,Minimal
Smartphone,Innovations Group,2,2019,4,Minimal
Smartwatch,Solutions Corp,1,2021,6,Moderate
Tablet,Tech Group,3,2019,5,Moderate
Headphones,Electronics Corp,4,2019,3,Moderate
Headphones,Electronics Inc,3,2019,4,Moderate
Smartphone,Solutions Group,5,2018,8,Minimal
Smartwatch,Solutions Corp,2,2020,2,Low
Tablet,Electronics Group,2,2018,8,High
Laptop,Tech Corp,1,2020,3,Low
Laptop,Solutions Group,4,2019,3,Minimal
Smartphone,Innovations Inc,2,2022,3,Moderate
Tablet,Gadget Corp,2,2018,4,Low
Laptop,Enterprises Corp,1,2019,2,Minimal
Tablet,Tech Group,5,2018,3,Moderate
Smartphone,Enterprises Inc,3,2020,5,Moderate
Smartphone,Innovations Corp,2,2023,5,Low
Tablet,Solutions Corp,2,2018,2,Low
Tablet,Electronics Ltd,5,2020,3,Minimal
Headphones,Solutions Corp,1,2018,4,Moderate
Smartwatch,Innovations Group,3,2020,5,High
Smartphone,Solutions Corp,3,2024,3,Moderate
Smartwatch,Tech Corp,5,2021,4,Moderate
Laptop,Electronics Ltd,5,2022,8,High
Laptop,Gadget Group,4,2020,8,High
Headphones,Enterprises Ltd,3,2018,4,Moderate
Headphones,Solutions Ltd,3,2021,7,High
Tablet,Enterprises Group,5,2024,4,High
Laptop,Innovations Inc,2,2018,2,Low
Smartwatch,Systems Corp,3,2021,6,High
Smartwatch,Innovations Inc,1,2021,2,Moderate
Laptop,Enterprises Corp,2,2023,5,Moderate
Headphones,Electronics Ltd,1,2019,2,Minimal
Laptop,Tech Ltd,1,2024,8,High
Laptop,Solutions Ltd,2,2021,7,Minimal
Laptop,Gadget Group,5,2020,6,Minimal
Smartphone,Tech Group,5,2023,7,High
Smartwatch,Systems Group,2,2024,2,Moderate
Tablet,Electronics Ltd,2,2020,5,Moderate
Tablet,Systems Inc,5,2020,8,Moderate
Smartphone,Innovations Ltd,4,2023,2,Moderate
Smartwatch,Innovations Inc,1,2019,8,Moderate
Smartphone,Systems Ltd,3,2024,2,Minimal
Laptop,Innovations Group,3,2020,5,Moderate
Headphones,Electronics Corp,5,2023,7,High
Smartwatch,Systems Inc,5,2021,3,Low
Tablet,Electronics Ltd,5,2018,4,Minimal
Laptop,Gadget Ltd,3,2024,5,Minimal
Tablet,Solutions Ltd,4,2020,2,Minimal
Laptop,Electronics Ltd,1,2023,4,High
Smartphone,Systems Corp,4,2021,3,Low
Headphones,Solutions Corp,2,2021,8,Low
Smartphone,Solutions Inc,5,2022,8,Moderate
Tablet,Solutions Corp,2,2021,3,High
Smartphone,Systems Corp,3,2022,6,Low
Smartphone,Gadget Inc,3,2018,2,Moderate
Laptop,Gadget Inc,5,2021,4,Minimal
Headphones,Electronics Group,4,2021,4,High
Headphones,Tech Inc,2,2021,6,Low
Tablet,Enterprises Group,2,2018,7,Low
Smartwatch,Gadget Corp,4,2024,5,High
Smartwatch,Systems Group,5,2018,2,Moderate
Laptop,Enterprises Corp,1,2021,3,High
Smartphone,Tech Group,5,2019,3,High
Smartphone,Enterprises Group,3,2018,2,High
Smartwatch,Tech Group,4,2019,8,Low
Headphones,Tech Ltd,5,2018,3,Low
Smartwatch,Systems Ltd,3,2021,5,Minimal
Laptop,Gadget Corp,4,2019,4,Low
Smartwatch,Innovations Ltd,1,2022,5,High
Laptop,Gadget Ltd,3,2022,2,Moderate
Headphones,Systems Inc,1,2021,4,Moderate
Laptop,Gadget Inc,1,2022,3,Minimal
Smartphone,Enterprises Corp,2,2024,8,High
Smartwatch,Gadget Corp,2,2024,5,High
Headphones,Innovations Corp,5,2019,6,High
Smartphone,Systems Corp,5,2022,2,High
Smartwatch,Tech Inc,3,2020,3,Low
Smartphone,Gadget Corp,3,2023,2,High
Tablet,Innovations Inc,5,2024,2,Low
Smartphone,Systems Ltd,4,2019,6,Low
Smartwatch,Gadget Corp,1,2018,8,Minimal
Smartwatch,Innovations Inc,3,2022,4,Minimal
Laptop,Solutions Ltd,3,2021,4,Low
Smartphone,Solutions Group,1,2019,7,Low
Smartphone,Enterprises Corp,3,2019,4,Low
Laptop,Enterprises Group,1,2023,5,High
Headphones,Electronics Group,1,2023,3,High
Laptop,Electronics Ltd,3,2023,7,Minimal
Headphones,Electronics Inc,1,2020,3,Moderate
Smartphone,Tech Group,3,2019,3,High
Smartphone,Systems Corp,5,2024,4,Low
Smartphone,Systems Inc,2,2022,6,High
Tablet,Systems Group,1,2019,4,High
Laptop,Innovations Inc,3,2019,7,Low
Headphones,Enterprises Corp,3,2021,7,High
Tablet,Enterprises Group,5,2019,4,High
Smartwatch,Gadget Ltd,4,2024,8,High
Laptop,Tech Group,4,2023,5,Low
Laptop,Innovations Inc,1,2019,7,Low
Headphones,Solutions Group,5,2023,2,High
Smartphone,Enterprises Inc,3,2018,3,Minimal
Headphones,Electronics Inc,5,2020,3,Moderate
Smartwatch,Gadget Inc,4,2019,8,Low
Smartphone,Electronics Inc,2,2024,8,High
Smartwatch,Innovations Group,3,2018,5,Low
Tablet,Innovations Group,2,2023,6,Minimal
Headphones,Tech Corp,5,2024,8,Minimal
Smartwatch,Electronics Ltd,5,2019,4,High
Laptop,Solutions Ltd,1,2024,6,Low
Tablet,Systems Group,5,2018,3,Moderate
Smartphone,Gadget Group,1,2019,7,Minimal
Smartwatch,Systems Inc,3,2018,2,Minimal
Tablet,Solutions Ltd,2,2019,5,Moderate
Laptop,Enterprises Ltd,5,2024,3,High
Tablet,Enterprises Group,3,2023,2,Moderate
Smartphone,Solutions Inc,4,2018,6,Minimal
Headphones,Solutions Ltd,3,2018,8,High
Smartphone,Tech Ltd,5,2021,3,Minimal
Laptop,Solutions Group,2,2022,4,High
Tablet,Electronics Ltd,4,2021,4,Moderate
Smartphone,Enterprises Group,4,2018,7,Low
Smartwatch,Gadget Corp,5,2018,8,Low
Smartwatch,Systems Inc,5,2018,6,Minimal
Headphones,Solutions Ltd,1,2022,6,High
Headphones,Enterprises Ltd,3,2019,2,High
Smartphone,Systems Corp,4,2019,7,Minimal
Tablet,Gadget Ltd,3,2023,6,Low
Tablet,Systems Corp,5,2019,2,High
Smartwatch,Tech Ltd,2,2019,2,Minimal
Headphones,Systems Corp,2,2023,7,High
Laptop,Enterprises Ltd,4,2021,5,Moderate
Tablet,Innovations Group,4,2020,5,Low
Laptop,Gadget Ltd,4,2021,7,High
Smartphone,Systems Corp,5,2023,4,Minimal
Smartphone,Enterprises Inc,5,2022,5,Minimal
Laptop,Innovations Group,3,2018,7,Minimal
Laptop,Enterprises Inc,1,2020,5,Moderate
Smartphone,Systems Inc,3,2022,8,Moderate
Smartwatch,Electronics Corp,3,2022,8,Low
Tablet,Electronics Group,1,2024,3,Minimal
Smartwatch,Systems Group,2,2023,7,Moderate
Tablet,Systems Inc,5,2024,5,Minimal
Smartwatch,Electronics Group,2,2019,5,Minimal
Laptop,Electronics Inc,3,2024,8,Moderate
Smartwatch,Solutions Group,4,2022,2,Minimal
Headphones,Enterprises Group,1,2023,8,High
Tablet,Gadget Inc,2,2024,7,Moderate
Laptop,Electronics Group,5,2020,3,Minimal
Smartphone,Systems Ltd,3,2024,7,Moderate
Smartphone,Gadget Inc,2,2021,2,Low
Smartphone,Enterprises Ltd,5,2023,8,Minimal
Headphones,Solutions Inc,1,2020,5,Moderate
Smartphone,Tech Group,1,2021,7,High
Smartwatch,Enterprises Corp,5,2018,5,Minimal
Laptop,Systems Inc,1,2021,6,High
Laptop,Gadget Corp,1,2021,3,Moderate
Headphones,Innovations Group,5,2022,2,Minimal
Smartwatch,Enterprises Ltd,2,2020,6,Minimal
Tablet,Tech Group,1,2018,2,Low
Smartwatch,Tech Inc,3,2019,6,Low
Smartphone,Gadget Ltd,3,2020,6,High
Smartwatch,Solutions Group,3,2019,6,Minimal
Laptop,Enterprises Inc,3,2019,7,Low
Tablet,Systems Corp,1,2024,8,High
Smartwatch,Enterprises Inc,1,2024,3,High
Headphones,Innovations Inc,2,2023,2,Moderate
Tablet,Innovations Corp,4,2022,3,Minimal
Headphones,Gadget Ltd,5,2018,7,High
Smartphone,Innovations Inc,1,2018,6,Minimal
Laptop,Tech Ltd,2,2021,5,Low
Headphones,Innovations Corp,5,2023,5,Minimal
Headphones,Electronics Inc,2,2024,5,Minimal
Smartwatch,Innovations Group,2,2022,4,Low
Headphones,Electronics Ltd,1,2021,6,Moderate
Laptop,Electronics Ltd,5,2023,6,Minimal
Tablet,Gadget Ltd,5,2019,8,High
Smartphone,Electronics Ltd,3,2018,3,Moderate
Headphones,Enterprises Corp,5,2024,8,Minimal
Headphones,Electronics Ltd,2,2019,2,Moderate
Smartwatch,Enterprises Inc,1,2021,7,Low
Smartwatch,Tech Inc,4,2020,3,Moderate
Laptop,Solutions Inc,2,2024,3,High
Smartwatch,Gadget Group,3,2019,5,Moderate
Laptop,Electronics Group,4,2020,2,Minimal
Laptop,Gadget Ltd,3,2018,8,High
Laptop,Solutions Ltd,4,2024,8,Low
Laptop,Gadget Inc,2,2019,8,Low
Laptop,Tech Corp,5,2020,4,High
Smartwatch,Solutions Corp,4,2024,6,High
Smartphone,Gadget Group,3,2024,8,Minimal
Tablet,Tech Inc,5,2023,7,Low
Tablet,Solutions Corp,1,2024,4,Minimal
Smartwatch,Systems Group,4,2024,8,Moderate
Laptop,Solutions Group,4,2023,2,Minimal
Laptop,Tech Group,4,2022,5,Moderate
Smartphone,Tech Ltd,2,2020,3,Moderate
Smartphone,Gadget Ltd,3,2021,4,Low
Laptop,Enterprises Ltd,1,2020,2,Minimal
Smartwatch,Solutions Corp,3,2018,3,Low
Smartphone,Solutions Inc,1,2023,6,Minimal
Tablet,Solutions Inc,5,2024,2,Minimal
Smartphone,Electronics Group,4,2018,2,Minimal
Smartwatch,Innovations Group,1,2024,2,Minimal
Smartphone,Solutions Inc,4,2024,4,High
Tablet,Enterprises Inc,4,2018,4,Low
Headphones,Systems Group,5,2018,5,Moderate
Smartwatch,Enterprises Group,2,2020,2,Minimal
Smartphone,Electronics Inc,1,2023,7,High
Smartwatch,Innovations Ltd,4,2024,3,Low
Laptop,Enterprises Ltd,4,2020,6,Moderate
Tablet,Systems Corp,2,2018,8,Moderate
Laptop,Systems Ltd,2,2020,5,Low
Smartwatch,Enterprises Ltd,5,2022,5,Moderate
Smartphone,Electronics Ltd,3,2020,2,Minimal
Smartwatch,Gadget Corp,3,2020,7,Moderate
Laptop,Innovations Group,2,2020,4,Moderate
Headphones,Electronics Corp,1,2018,7,Moderate
Tablet,Systems Ltd,4,2022,8,Moderate
Headphones,Solutions Ltd,5,2021,5,Moderate
Laptop,Electronics Inc,1,2020,7,High
Laptop,Solutions Ltd,4,2022,3,Low
Laptop,Systems Group,3,2019,7,High
Smartwatch,Innovations Group,3,2020,5,Minimal
Laptop,Gadget Corp,3,2019,3,Minimal
Tablet,Electronics Corp,4,2020,7,High
Laptop,Gadget Corp,2,2022,2,Minimal
Tablet,Innovations Ltd,1,2023,4,Moderate
Laptop,Enterprises Inc,4,2024,2,Minimal
Smartphone,Systems Corp,5,2019,3,Moderate
Smartphone,Electronics Corp,4,2019,3,Low
Headphones,Gadget Inc,3,2020,2,Moderate
Laptop,Tech Group,2,2020,2,Moderate
Tablet,Enterprises Inc,3,2023,3,Minimal
Headphones,Innovations Group,2,2022,8,Moderate
Tablet,Enterprises Inc,4,2022,6,Minimal
Smartwatch,Innovations Corp,1,2022,2,Low
Smartwatch,Systems Group,2,2018,7,Low
Smartwatch,Tech Ltd,2,2024,5,Moderate
Laptop,Innovations Ltd,2,2024,7,Low
Headphones,Solutions Ltd,5,2023,2,Moderate
Smartwatch,Gadget Corp,3,2022,6,High
Headphones,Solutions Inc,4,2020,2,High
Headphones,Innovations Inc,1,2024,3,Minimal
Tablet,Electronics Corp,1,2020,7,High
Smartphone,Enterprises Group,5,2020,7,Low
Smartwatch,Gadget Inc,2,2023,7,Low
Laptop,Electronics Group,2,2024,3,High
Headphones,Solutions Corp,1,2024,3,High
Smartphone,Electronics Inc,1,2018,2,High
Tablet,Gadget Group,5,2018,2,Moderate
Tablet,Solutions Corp,5,2021,7,Low
Tablet,Tech Group,1,2024,6,High
Smartwatch,Enterprises Inc,2,2021,6,Moderate
Laptop,Systems Ltd,3,2023,8,Low
Tablet,Systems Group,2,2024,7,Moderate
Smartwatch,Enterprises Ltd,1,2021,6,High
Tablet,Gadget Ltd,2,2021,2,Low
Laptop,Tech Group,4,2023,3,Moderate
Smartphone,Enterprises Group,1,2021,7,High
Headphones,Tech Inc,3,2022,2,Moderate
Laptop,Solutions Group,2,2022,4,High
Smartphone,Gadget Group,3,2020,8,Minimal
Headphones,Tech Group,3,2023,5,Moderate
Headphones,Gadget Group,4,2020,8,Low
Smartwatch,Innovations Corp,4,2020,3,Low
Smartwatch,Solutions Inc,3,2020,5,Low
Smartphone,Electronics Ltd,5,2019,2,Moderate
Tablet,Solutions Inc,3,2018,3,High
Tablet,Enterprises Corp,1,2024,2,High
Laptop,Tech Group,1,2023,5,Moderate
Smartwatch,Solutions Group,1,2020,5,Low
Smartphone,Innovations Corp,5,2020,5,High
Tablet,Systems Inc,2,2020,8,Low
Smartphone,Electronics Inc,5,2024,8,High
Smartwatch,Tech Group,3,2021,4,High
Headphones,Tech Ltd,3,2023,4,High
Smartphone,Gadget Group,5,2022,7,Minimal
Laptop,Tech Inc,3,2022,7,Minimal
Headphones,Electronics Inc,1,2020,4,Low
Smartwatch,Systems Ltd,1,2018,3,Low
Laptop,Electronics Corp,2,2021,7,Moderate
Smartphone,Enterprises Ltd,3,2019,7,High
Smartphone,Solutions Group,4,2021,8,High
Smartwatch,Solutions Inc,1,2022,5,Moderate
Smartphone,Electronics Group,4,2020,6,Moderate
Tablet,Innovations Group,5,2021,3,Low
Smartphone,Enterprises Group,4,2022,2,Moderate
Headphones,Systems Corp,1,2018,6,Moderate
Tablet,Enterprises Corp,4,2023,4,Low
Laptop,Tech Inc,4,2019,6,Moderate
Tablet,Gadget Group,3,2022,8,Moderate
Headphones,Innovations Corp,2,2020,8,Moderate
Tablet,Enterprises Corp,4,2018,2,Moderate
Tablet,Gadget Corp,1,2019,4,High
Laptop,Solutions Corp,1,2024,3,Low
Smartwatch,Innovations Ltd,4,2022,3,Low
Smartphone,Innovations Group,3,2021,3,High
Smartphone,Gadget Corp,2,2022,7,High
Smartphone,Electronics Inc,2,2023,2,Moderate
Smartwatch,Electronics Inc,2,2021,4,High
Laptop,Enterprises Inc,2,2021,2,Moderate
Headphones,Innovations Group,1,2020,8,Moderate
Laptop,Gadget Ltd,4,2021,7,Low
Tablet,Tech Group,1,2021,3,High
Headphones,Enterprises Group,4,2019,2,High
Headphones,Systems Group,5,2020,4,High
Headphones,Systems Inc,4,2022,3,Minimal
Headphones,Gadget Inc,4,2018,8,High
Headphones,Gadget Group,3,2022,2,Moderate
Smartphone,Systems Ltd,3,2018,4,High
Laptop,Tech Group,4,2020,8,Low
Smartwatch,Gadget Corp,2,2021,3,Low
Laptop,Systems Group,5,2024,5,Moderate
Laptop,Enterprises Ltd,1,2022,2,Minimal
Tablet,Innovations Inc,4,2020,5,Minimal
Headphones,Solutions Ltd,5,2024,2,Moderate
Headphones,Enterprises Group,3,2024,2,Minimal
Laptop,Tech Corp,1,2022,2,Low
Tablet,Solutions Inc,1,2018,6,Low
Laptop,Gadget Corp,1,2024,4,Low
Laptop,Gadget Group,3,2019,2,High
Smartphone,Systems Ltd,3,2023,3,Low
Smartwatch,Electronics Group,2,2021,4,Low
Laptop,Tech Group,1,2020,3,High
Laptop,Tech Group,3,2021,6,Moderate
Smartphone,Gadget Group,5,2021,5,Minimal
Smartphone,Solutions Ltd,3,2022,5,Minimal
Smartwatch,Electronics Group,5,2023,6,High
Headphones,Systems Corp,5,2021,4,High
Tablet,Electronics Inc,5,2018,3,Low
Tablet,Enterprises Ltd,1,2024,4,Low
Tablet,Gadget Inc,5,2019,8,Low
Laptop,Gadget Ltd,2,2024,8,Low
Tablet,Enterprises Inc,5,2019,5,Minimal
Tablet,Solutions Inc,1,2018,3,Minimal
Smartphone,Tech Inc,2,2024,6,High
Laptop,Electronics Group,4,2022,6,High
Laptop,Systems Corp,4,2023,5,Moderate
Smartphone,Systems Ltd,2,2019,3,Low
Smartphone,Innovations Group,4,2021,8,Low
Smartwatch,Enterprises Inc,4,2018,2,Minimal
Laptop,Systems Ltd,1,2021,8,Moderate
Smartphone,Solutions Corp,5,2021,7,Moderate
Laptop,Gadget Inc,1,2022,3,High
Headphones,Gadget Inc,5,2022,7,Low
Headphones,Systems Corp,4,2024,5,Minimal
Smartphone,Gadget Ltd,4,2023,3,Low
Smartwatch,Electronics Group,3,2020,6,Low
Headphones,Tech Inc,4,2024,8,Minimal
Laptop,Systems Corp,2,2022,7,Minimal
Laptop,Electronics Group,2,2021,5,High
Headphones,Tech Inc,3,2024,5,Minimal
Smartwatch,Gadget Group,2,2020,4,Minimal
Tablet,Innovations Inc,2,2019,3,Minimal
Smartwatch,Gadget Inc,1,2024,2,Minimal
Headphones,Gadget Inc,3,2018,6,Low
Laptop,Systems Group,4,2020,2,Low
Smartwatch,Electronics Group,3,2021,3,Minimal
Smartwatch,Gadget Corp,2,2018,4,Low
Smartphone,Solutions Group,5,2020,5,Moderate
Laptop,Electronics Group,5,2022,3,Low
Headphones,Gadget Ltd,4,2024,3,High
Laptop,Tech Group,5,2019,8,Low
Laptop,Solutions Inc,4,2021,5,Minimal
Smartphone,Innovations Group,3,2022,8,Minimal
Tablet,Enterprises Inc,5,2019,8,Minimal
Headphones,Electronics Group,1,2022,3,Moderate
Smartwatch,Electronics Corp,2,2024,7,High
Smartwatch,Solutions Group,3,2021,5,Low
Laptop,Enterprises Ltd,2,2022,3,Low
Tablet,Gadget Corp,1,2019,8,Minimal
Smartphone,Electronics Group,4,2020,4,High
Headphones,Electronics Ltd,4,2020,6,Minimal
Laptop,Gadget Ltd,5,2021,7,Low
Laptop,Innovations Group,3,2019,2,Moderate
Laptop,Tech Ltd,5,2021,4,Moderate
Smartwatch,Tech Inc,4,2024,3,High
Smartwatch,Electronics Inc,5,2024,5,Minimal
Laptop,Innovations Group,3,2018,2,Minimal
Headphones,Tech Corp,2,2024,4,High
Headphones,Gadget Corp,3,2019,7,Minimal
Smartwatch,Electronics Ltd,3,2023,2,High
Smartwatch,Innovations Ltd,2,2022,7,Moderate
Smartwatch,Solutions Ltd,1,2021,8,High
Tablet,Innovations Group,5,2023,4,Low
Tablet,Enterprises Group,2,2020,2,Minimal
Headphones,Tech Corp,1,2019,3,High
Headphones,Tech Group,4,2022,6,Minimal
Headphones,Enterprises Ltd,1,2024,8,High
Laptop,Innovations Ltd,4,2023,5,Minimal
Smartphone,Solutions Group,2,2022,4,Minimal
Smartwatch,Tech Group,5,2019,5,Moderate
Laptop,Solutions Ltd,3,2023,6,Moderate
Laptop,Gadget Inc,1,2019,2,Low
Headphones,Gadget Corp,1,2023,2,Moderate
Smartphone,Electronics Inc,3,2021,5,Minimal
Smartphone,Electronics Ltd,1,2019,8,Low
Smartphone,Enterprises Inc,5,2019,8,Minimal
Tablet,Tech Inc,4,2022,7,Moderate
Laptop,Electronics Group,2,2023,6,High
Smartphone,Tech Ltd,5,2023,8,Minimal
Headphones,Systems Inc,5,2024,3,Moderate
Tablet,Solutions Group,1,2019,8,Minimal
Headphones,Enterprises Corp,4,2021,4,High
Laptop,Systems Inc,1,2021,3,High
Laptop,Enterprises Corp,5,2020,8,Minimal
Smartphone,Innovations Corp,2,2023,3,Minimal
Tablet,Enterprises Group,3,2022,3,Minimal
Headphones,Solutions Corp,1,2020,7,Moderate
Tablet,Innovations Ltd,2,2024,2,Moderate
Tablet,Innovations Ltd,2,2021,6,High
Smartwatch,Tech Inc,2,2023,4,Moderate
Headphones,Gadget Inc,4,2019,7,Moderate
Headphones,Innovations Ltd,5,2021,7,High
Laptop,Innovations Inc,4,2019,8,Moderate
Smartphone,Systems Ltd,5,2021,2,Moderate
Laptop,Innovations Corp,5,2021,8,Low
Tablet,Enterprises Ltd,2,2021,3,Minimal
Tablet,Solutions Inc,5,2022,2,Low
Smartphone,Enterprises Ltd,1,2024,4,Moderate
Smartwatch,Tech Inc,3,2024,7,High
Smartphone,Gadget Inc,5,2019,6,Moderate
Headphones,Tech Inc,1,2024,8,Moderate
Tablet,Solutions Inc,4,2023,3,Minimal
Laptop,Electronics Ltd,4,2020,2,Minimal
Tablet,Solutions Corp,1,2024,4,Moderate
Laptop,Tech Inc,3,2020,5,High
Tablet,Systems Group,4,2020,6,Moderate
Laptop,Enterprises Ltd,1,2019,7,Minimal
Smartphone,Tech Ltd,5,2022,5,Minimal
Tablet,Electronics Inc,1,2020,2,Moderate
Smartphone,Innovations Corp,1,2023,7,Low
Laptop,Systems Inc,2,2021,6,Moderate
Headphones,Systems Corp,1,2023,2,Moderate
Smartphone,Systems Ltd,5,2019,2,Low
Smartphone,Enterprises Ltd,2,2023,7,High
Smartwatch,Enterprises Inc,5,2022,5,Minimal
Smartwatch,Systems Inc,2,2022,4,Low
Headphones,Electronics Inc,4,2018,4,Minimal
Smartwatch,Solutions Corp,2,2022,2,Minimal
Headphones,Enterprises Inc,1,2021,6,High
Smartphone,Gadget Corp,2,2024,7,Moderate
Smartwatch,Electronics Inc,2,2024,4,Low
Laptop,Gadget Corp,5,2023,3,High
Smartphone,Enterprises Inc,4,2021,3,High
Smartphone,Systems Group,5,2022,4,Moderate
Headphones,Solutions Ltd,1,2023,3,High
Laptop,Tech Ltd,1,2023,5,Moderate
Headphones,Gadget Corp,1,2020,5,High
Smartwatch,Innovations Inc,1,2024,6,High
Laptop,Gadget Inc,2,2024,2,High
Laptop,Solutions Corp,3,2020,5,Moderate
Laptop,Enterprises Group,4,2022,7,Moderate
Tablet,Systems Ltd,1,2020,2,Moderate
Headphones,Electronics Group,2,2023,3,Minimal
Tablet,Innovations Ltd,5,2021,2,Minimal
Tablet,Solutions Corp,5,2023,8,Moderate
Smartphone,Enterprises Ltd,4,2022,8,Low
Smartwatch,Electronics Inc,5,2018,2,Low
Laptop,Innovations Corp,1,2022,6,Low
Laptop,Solutions Group,3,2024,4,Minimal
Headphones,Gadget Ltd,5,2018,7,High
Tablet,Solutions Group,1,2024,8,High
Smartphone,Systems Group,4,2019,8,Low
Laptop,Gadget Corp,2,2021,6,Low
Tablet,Enterprises Ltd,1,2020,5,High
